我	ngo5
你	nei5
佢	keoi4
嘅	koi3
呀	aa1
咁	gam3
都	dou1
就	zau6
呢	ne1
係	hai6
好	hou2
去	heoi3
唔	m4
個	go3
左	zo2
有	jau5
同	tung4
啦	laa1
到	dou3
講	gong2
要	jiu3
啲	di1
既	gei3
話	waa6
可以	ho2 ji5
呢個	ni1 go3
喇	laa3
一個	jat1 go3
又	jau6
會	wui2
架	gaa2
真係	zan1 hai6
唔係	m4 hai6
自己	zi6 gei2
咩	me1
阿	aa3
而家	ji4 gaa1
想	soeng2
黎	lai4
冇	mou5
唔好	m4 hou2
一	jat1
我哋	ngo5 dei6
之後	zi1 hau6
做	zou6
得	dak1
先	sin1
嚟	lai4
都係	dou1 hai6
果	gwo2
嘞	laak3
人	jan4
但	daan6
已經	ji5 ging1
不過	bat1 gwo3
返	faan2
搵	wan2
如果	jyu4 gwo2
下	haa6
即	zik1
過	gwo3
因為	jan1 wai6
所以	so2 ji5
叫	giu3
唔知	m4 zi1
就係	zau6 hai6
住	zyu6
好多	hou2 do1
再	zoi3
睇	tai2
覺得	gok3 dak1
囉	lo1
俾	bei2
事	si6
點	dim2
好似	hou2 ci5
其實	kei4 sat6
仲	zung6
走	zau2
啊	aa1
唔會	m4 wui2
幫	bong1
應該	jing1 goi1
點解	dim2 gaai2
見到	gin3 dou3
公司	gung1 si1
屋企	uk1 kei2
我地	ngo5 dei6
埋	maai4
而	ji4
但係	daan6 hai6
對	deoi3
朋友	pang4 jau5
個人	go3 jan4
度	dok6
諗	sam2
咪	miu1
大	daai6
知道	zi1 dou3
以	ji5
將	zoeng1
條	tiu4
今日	gam1 jat6
時候	si4 hau6
唔到	m4 dou3
幾	gei2
出	ceot1
問	man6
用	jung6
無	mou4
喂	wai3
畀	bei3
緊	gan2
正	zing3
比	bei2
食	sik6
成日	sing4 jat6
行	hang4
知	zi1
電話	din6 waa2
香港	hoeng1 gong2
大家	daai6 gaa1
間	gaan1
佢哋	keoi5 dei6
打	daa1
一定	jat1 ding6
聽	teng1
係咪	hai6 mai6
可能	ho2 nang4
隻	zek3
嘛	maa3
樣	joeng6
未	mei6
上	soeng5
問題	man6 tai4
娜	no5
件	gin6
阿爸	aa3 baa1
有啲	jau5 di1
兩	loeng5
佢地	keoi5 dei6
喺度	hai2 dou6
乜	me1
呢啲	ni1 di1
時間	si4 gaan3
入面	jap6 min6
嗰個	go2 go3
錢	cin2
邊	bin1
只係	zi2 hai6
咁多	gam3 do1
仔	zai2
完	jyun4
見	gin3
拎	ling1
咋	zaa3
多	do1
哦	ngo4
為	wai6
阿媽	aa3 maa1
唔可以	m4 ho2 ji5
等	dang2
唔使	m4 sai2
有冇	jau5 mou5
開始	hoi1 ci2
坐	co5
番	faan1
買	maai5
由	jau4
一齊	jat1 cai4
最	zeoi3
聽到	teng1 dou3
乜嘢	mat1 je5
仲有	zung6 jau5
向	hoeng3
野	je5
張	zoeng1
鍾意	zung1 ji3
三	saam1
天	tin1
入	jap6
之前	zi1 cin4
係呀	hai6 aa3
都會	dou1 wui6
或者	waak6 ze2
記得	gei3 dak1
一樣	jat1 joeng6
請	cing2
其他	kei4 taa1
搞	gaau2
連	lin4
太	taai3
玩	wun6
佢嘅	keoi5 ge3
出嚟	ceot1 lei4
油	jau4
雖然	seoi1 jin4
亦都	jik6 dou1
即刻	zik1 hak1
邊個	bin1 go3
成	sing4
突然	dat6 jin4
今晚	gam1 maan5
姐	ze2
我嘅	ngo5 ge3
帶	daai3
落	lok6
今次	gam1 ci3
令	ling6
當	dong1
班	baan1
呢度	ni1 dou6
一次	jat1 ci3
快	faai3
你哋	nei5 dei6
份	fan6
你地	nei5 dei6
一陣	jat1 zan6
望住	mong6 zyu6
系	hai6
開心	hoi1 sam1
陣	zan6
小姐	siu2 ze2
你嘅	nei5 ge3
一直	jat1 zik6
蚊	man1
怕	paa3
第一	dai6 jat1
頭先	tau4 sin1
起	hei2
有人	jau5 jan4
快啲	faai3 di1
佑	jau6
原來	jyun4 loi4
死	sei2
識	sik1
就算	zau6 syun3
做咩	zou6 me1
生	saang1
開	hoi1
上面	soeng6 min6
好好	hou2 hou2
爸爸	baa1 baa1
手	sau2
以為	ji5 wai4
返嚟	faan2 lai2
以前	ji5 cin4
望	mong6
先生	sin1 saang1
栽	zoi1
肯	hang2
同埋	tung4 maai4
嗰啲	go2 di1
道	dou6
決定	kyut3 ding6
明	ming4
政府	zing3 fu2
信	seon3
最後	zeoi3 hau6
出去	ceot1 heoi3
時	si4
即係	zik1 hai6
竟然	ging2 jin4
地方	dei6 fong1
跟住	gan1 zyu6
需要	seoi1 jiu3
點知	dim2 zi1
驚	ging1
幾多	gei2 do1
唔識	m4 sik1
希望	hei1 mong6
說話	syut3 waa6
唔同	m4 tung4
神	san4
點樣	dim2 joeng2
唔該	m4 goi1
終於	zung1 jyu1
一路	jat1 lou6
傾	king1
位	wai2
重	cung5
莊	zong1
房	fong2
球	kau4
而且	ji4 ce2
送	sung3
龍	lung4
志	zi3
完全	jyun4 cyun4
發生	faat3 sang1
然後	jin4 hau6
做乜	zou6 mat1
所有	so2 jau5
唔得	m4 dak1
不如	bat1 jyu4
心	sam1
一啲	jat1 di1
聽日	ting1 jat6
女仔	neoi5 zai2
星期	sing1 kei4
中	zung1
繼續	gai3 zuk6
地	dei6
面	min6
放	fong3
洗	sai2
一下	jat1 haa6 
一個人	jat1 go3 jan4
飲	jam2
日	jat6
意思	ji3 si1
五	ng5
定	ding6
小小	siu2 siu2
世界	sai3 gaai3
食飯	sik6 faan6
工	gung1
添	tim1
著	zoek3
車	ce1
量詞	loeng6 ci4
句	geoi3
新	san1
當然	dong1 jin4
女人	neoi5 jan4
啲人	di1 jan4
點呀	dim2 aa1
返屋企	faan1 uk1 kei2
男人	naam4 jan4
機會	gei1 wui6
感覺	gam2 gok3
第二	dai6 ji6
嚟㗎	lai2 gaa2
幾個	gei2 go3
慢慢	maan6 maan2
笑	siu3
醫生	ji1 sang1
一句	jat1 geoi3
啱啱	ngaam1 ngaam1
你好	nei5 hou2
種	zung2
收	sau1
答	daap3
離開	lei4 hoi1
訓	fan3
根本	gan1 bun2
夠	gau3
靚	zing6
之	zi1
名	ming4
梗係	gang2 hai6
亦	jik6
嗰陣	go2 zan6
返工	faan1 gung1
搞到	gaau2 dou3
一日	jat1 jat6
後	hau6
本	bun2
定係	ding6 hai6
媽	maa1
一刻	jat1 haak1
聲	sing1
出現	ceot1 jin6
我自己	ngo5 zi6 gei2
女	neoi5
平時	ping4 si4
呃	ak1
人哋	jan4 dei6
難	naan4
屋	uk1
叔	suk1
唔記得	m4 gei3 dak1
晚	maan5
好耐	hou2 noi6
單	daan1
情況	cing4 fong3
一定要	jat1 ding6 jiu3
陪	pui4
返去	faan2 heoi3
估	gu2
緊要	gan2 jiu3
全	cyun4
同事	tung4 si6
講嘢	gong2 je5
部	bou6
高	gou1
小心	siu2 sam1
的	dik1
起身	hei2 san1
生活	sang1 wut6
清楚	cing1 co2
王	wong4
先至	sin1 zi3
準備	zeon2 bei6
兒	ji4
賣	maai6
跟	gan1
真	zan1
落去	lok6 heoi3
唔多	m4 do1
邊度	bin1 dou6
就要	zau6 jiu3
本身	bun2 san1
任何	jam6 ho4
相信	soeng1 seon3
打算	daa2 syun3
成個	sing4 go3
辦法	baan6 faat3
由於	jau4 jyu1
社會	se5 wui2
入去	jap6 heoi3
多謝	do1 ze6
寫	se2
耐	noi6
年	nin4
做嘢	zou6 je5
非常	fei1 soeng4
被	bei6
交	gaau1
歲	seoi3
嘅話	ge3 waa2
所謂	so2 wai6
安	on1
分鐘	fan1 zung1
口	hau2
整	zing2
另一	ling6 jat1
至	zi3
衫	saam1
他人	taa1 jan4
拍	paak3
更加	gang3 gaa1
又係	jau6 hai6
約	joek3
究竟	gau3 ging2
細路	sai3 lou6
醫院	ji1 jyun2
四	sei3
嘩	waa1
鬧	naau6
喀	kaa1
秀	sau3
老婆	lou5 po4
工作	gung1 zok3
留	lau4
了	liu5
裏面	leoi5 min6
頭	tau4
身邊	san1 bin1
中國	zung1 gwok3
書	syu1
重要	zung6 jiu3
文	man4
企	kei5
面前	min6 cin4
輝	fai1
嚟嘅	lai4 ge3
學	hok6
理	lei5
好呀	hou2 aa3
十	sap6
教	gaau3
都可以	dou1 ho2 ji5
反應	faan2 jing3
少	siu3
你自己	nei5 zi6 gei2
個個	go3 go3
電視	din6 si6
水	seoi2
其他人	kei4 taa1 jan4
拉	laai1
支	zi1
有時	jau5 si4
生意	saang1 ji3
之間	zi1 gaan1
學生	hok6 saang1
關係	gwaan1 hai6
計	gai3
對唔住	deoi3 m4 zyu6
吖嘛	aa1 maa3
有錢	jau5 cin2
錯	co3
發現	faat3 jin6
所	so2
唔敢	m4 gam2
嬲	niu5
幾時	gei2 si4
打電話	daa2 din6 waa2
除	ceoi4
扮	baan6
唔通	m4 tung1
唔夠	m4 gau3
六	luk6
唯有	wai4 jau5
門口	mun4 hau2
八	baat3
電腦	din6 nou5
特別	dak6 bit6
哈	haa1
阿哥	aa3 go1
忍唔住	jan2 m4 zyu6
擔心	daam1 sam1
身	san1
少少	siu2 siu2
唔見	m4 gin3
出聲	ceot1 seng1
飯	faan6
把	baa2
乜野	me1 je5
低	dai1
杯	bui1
月	jyut6
早	zou2
仲未	zung6 mei6
㗎喇	gaa2 laa1
幾日	gei2 jat6
個位	go3 wai2
為咗	wai4 zo2
過去	gwo3 heoi3
嗰度	go2 dou6
冇事	mou5 si6
在	zoi6
相	soeng1
得到	dak1 dou3
周	zau1
結婚	git3 fan1
客	haak3
一邊	jat1 bin1
愛	oi3
解釋	gaai2 sik1
轉	zyun2
前	cin4
淨係	zing6 hai6
套	tou3
女朋友	neoi5 pang4 jau5
原因	jyun4 jan1
上次	soeng6 ci3
七	cat1
日日	jat6 jat6
紅	hung4
讀	duk6
一種	jat1 zung2
同一	tung4 jat1
兄弟	hing1 dai6
之外	zi1 ngoi6
之下	zi1 haa6
德	dak1
明白	ming4 baak6
以後	ji5 hau6
即時	zik1 si4
不	bat1
喊	haam3
美	mei5
只	zi2
仲係	zung6 hai6
禮拜	lai5 baai3
二	ji6
腳	goek3
呢樣	nei4 joeng6
一早	jat1 zou2
到底	dou3 dai2
係噉	hai6 gam2
噉就	gam2 zau6
易	ji6
細	sai3
方面	fong1 min6
路	lou6
全部	cyun4 bou6
美國	mei5 gwok3
揀	gaan2
警察	ging2 caat3
當時	dong1 si4
從	cung4
爭	zang1
一定會	jat1 ding6 wui5
冇乜	mou5 mat1
收到	sau1 dou3
街	gaai1
借	ze3
幾好	gei2 hou2
唔理	m4 lei5
估唔到	gu2 m4 dou2
到時	dou3 si4
我唔知	ngo5 m4 zi1
變	bin3
眼	ngaan5
算	syun3
二十	ji6 sap6
力	lik6
影響	jing2 hoeng2
算係	syun3 hai6
諗住	lam2 zyu6
場	coeng4
大學	daai6 hok6
成功	sing4 gung1
最好	zeoi3 hou2
比較	bei2 gaau3
會同	wui3 tung4
