當	当
計	计
長	长
傑	杰
還	还
頭	头
份	份	分
來	来
係	系
個	个
國	国
醜	丑
對	对
鐘	钟
餅	饼
噉	啖	噉
億	亿
復	复
錢	钱
動	动
靜	静
價	价
煙	烟
講	讲
雲	云
飯	饭	飯
團	团
場	场
歡	欢
間	间
風	风
關	关
淺	浅
馬	马
職	职
會	会
細	细
將	将
萬	万
時	时	记
順	顺
級	级
兩	两
張	张
腳	脚
擔	担
於	于	於
樣	样
書	书
鮮	鲜
糞	粪
黃	黄
條	条
數	数
氣	气
樂	乐
樓	楼
鳳	凤
養	养
檔	档
過	过
傷	伤
殼	壳
淚	泪
決	决
勝	胜
負	负
瀉	泻
里	里	厘
蝨	虱
疋	匹	疋
龍	龙
門	门
發	发
盤	盘	盤
眾	众
齋	斋
磚	砖
筆	笔
雙	双
夾	夹	夾
統	统
經	经
脈	脉
傳	传
舉	举
舊	旧
處	处
見	见
鍾	钟	锺
覽	览
驚	惊
夢	梦
債	债
蟻	蚁
鬆	松
輪	轮
轆	辘
邊	边
鑊	镬
陣	阵
隻	只
雞	鸡
鳴	鸣
項	项
頸	颈
額	额
飛	飞
沖	冲
髮	发
鈞	钧
點	点
齊	齐
遊	游	遊
亂	乱
慾	欲
縱	纵
離	离
號	号
詩	诗
窮	穷
絕	绝
絃	弦	絃
顛	颠
Ｔ	T	Ｔ
識	识
勢	势
婦	妇
節	节
顏	颜
紅	红
蓮	莲
釘	钉
幾	几
撥	拨
棟	栋
館	馆
歲	岁
線	线
維	维
電	电
緘	缄
櫈	凳
鐵	铁
華	华
測	测
帶	带
鳥	鸟
禮	礼
無	无
終	终
達	达
晝	昼
機	机
灘	滩
湯	汤
畫	画
組	组
織	织
裝	装
窰	窑
貨	货
網	网	纲
聯	联	聯
腦	脑
臺	台
蠟	蜡
車	车
鋪	铺
鏈	链
顎	颚
農	农
輕	轻
懷	怀
欄	栏
環	环
賤	贱
評	评
僅	仅
聲	声
厭	厌
詳	详
議	议
像	象	像
單	单	單
駕	驾
駛	驶
惡	恶
問	问
題	题
捨	舍
摟	搂
曉	晓
濟	济
為	为
話	话
後	后
謂	谓
